"record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","cs"
1,7,16,1977,2,"NL","M",32,NA,"1"
2,7,16,1977,3,"NL","M",33,NA,"1"
3,7,16,1977,2,"DM","F",37,NA,"1"
4,7,16,1977,7,"DM","M",36,NA,"1"
5,7,16,1977,3,"DM","M",35,NA,"1"
6,7,16,1977,1,"PF","M",14,NA,"1"
7,7,16,1977,2,"PE","F",NA,NA,"1"
8,7,16,1977,1,"DM","M",37,NA,"1"
9,7,16,1977,1,"DM","F",34,NA,"1"
10,7,16,1977,6,"PF","F",20,NA,"1"
11,7,16,1977,5,"DS","F",53,NA,"1"
12,7,16,1977,7,"DM","M",38,NA,"1"
13,7,16,1977,3,"DM","M",35,NA,"1"
14,7,16,1977,8,"DM","",NA,NA,"1"
15,7,16,1977,6,"DM","F",36,NA,"1"
16,7,16,1977,4,"DM","F",36,NA,"1"
17,7,16,1977,3,"DS","F",48,NA,"1"
18,7,16,1977,2,"PP","M",22,NA,"1"
19,7,16,1977,4,"PF","",NA,NA,"1"
20,7,17,1977,11,"DS","F",48,NA,"1"
21,7,17,1977,14,"DM","F",34,NA,"1"
22,7,17,1977,15,"NL","F",31,NA,"1"
23,7,17,1977,13,"DM","M",36,NA,"1"
24,7,17,1977,13,"SH","M",21,NA,"1"
25,7,17,1977,9,"DM","M",35,NA,"1"
26,7,17,1977,15,"DM","M",31,NA,"1"
27,7,17,1977,15,"DM","M",36,NA,"1"
28,7,17,1977,11,"DM","M",38,NA,"1"
29,7,17,1977,11,"PP","M",NA,NA,"1"
30,7,17,1977,10,"DS","F",52,NA,"1"
31,7,17,1977,15,"DM","F",37,NA,"1"
32,7,17,1977,10,"DM","F",35,NA,"1"
33,7,17,1977,11,"DM","F",36,NA,"1"
34,7,17,1977,17,"DM","",NA,NA,"1"
35,7,17,1977,13,"DM","F",38,NA,"1"
36,7,17,1977,16,"OT","F",22,NA,"1"
37,7,17,1977,11,"DM","F",35,NA,"1"
38,7,17,1977,17,"NL","M",33,NA,"1"
39,7,17,1977,11,"DM","F",36,NA,"1"
40,7,18,1977,20,"DM","M",36,NA,"1"
41,7,18,1977,23,"DM","F",34,NA,"1"
42,7,18,1977,18,"DS","F",46,NA,"1"
43,7,18,1977,21,"DM","M",36,NA,"1"
44,7,18,1977,18,"DM","F",35,NA,"1"
45,7,18,1977,22,"DM","M",36,NA,"1"
46,7,18,1977,19,"DM","M",35,NA,"1"
47,7,18,1977,18,"DM","M",32,NA,"1"
48,7,18,1977,20,"DM","F",36,NA,"1"
49,7,18,1977,12,"PP","F",17,NA,"1"
50,7,18,1977,18,"DM","F",32,NA,"1"
51,7,18,1977,21,"DM","F",36,NA,"1"
52,7,18,1977,12,"DM","F",26,NA,"1"
53,7,18,1977,22,"DM","M",36,NA,"1"
54,7,18,1977,18,"DM","M",37,NA,"1"
55,7,18,1977,23,"DM","M",36,NA,"1"
56,7,18,1977,20,"DM","M",34,NA,"1"
57,7,18,1977,22,"DM","",NA,NA,"1"
58,7,18,1977,12,"DS","M",45,NA,"1"
59,7,18,1977,19,"DM","M",33,NA,"1"
60,7,18,1977,19,"PE","M",20,NA,"1"
61,7,18,1977,23,"DM","M",35,NA,"1"
62,7,18,1977,19,"DM","M",35,NA,"1"
63,8,19,1977,3,"DM","M",35,40,"1"
64,8,19,1977,7,"DM","M",37,48,"1"
65,8,19,1977,4,"DM","F",34,29,"1"
66,8,19,1977,4,"DM","F",35,46,"1"
67,8,19,1977,7,"DM","M",35,36,"1"
68,8,19,1977,8,"DO","F",32,52,"1"
69,8,19,1977,2,"PF","M",15,8,"1"
70,8,19,1977,3,"OX","F",21,22,"1"
71,8,19,1977,7,"DM","F",36,35,"1"
72,8,19,1977,2,"NL","M",31,NA,"1"
73,8,19,1977,3,"DS","F",44,NA,"1"
74,8,19,1977,8,"PF","M",12,7,"1"
75,8,19,1977,8,"DM","F",32,22,"1"
76,8,19,1977,9,"DS","F",47,NA,"1"
77,8,19,1977,4,"SS","",NA,NA,"1"
78,8,19,1977,1,"PF","M",16,9,"1"
79,8,19,1977,7,"DM","F",34,42,"1"
